feature,post_vs_cutoff_smd,error_vs_correct_smd,cutoff_mean,post_mean,correct_mean,error_mean
path_prev1_b2_std,0.24750889151780783,0.08309165429819415,716.152042322404,1040.800765778478,923.1835408512668,1055.9491652203048
path_prev1_b2_p05,0.15789884645219063,0.10175359061317599,9648.875529184908,10142.670935419914,9922.800859752066,10285.616259214326
path_prev1_b2_p95,0.2814902800195591,0.11338619231651904,11845.193529043705,13412.204983434105,12809.74688813183,13587.000944940146
path_prev1_b3_mean,0.2308070530984997,0.12885332831346594,12291.112556137725,13268.828874866904,12852.938213330239,13494.93352454341
path_prev1_b3_std,0.21872216267881017,0.08435446166252154,910.9122517818546,1190.2404853042572,1084.7717943901227,1215.7720827526894
path_prev1_b3_p05,0.11704388457568753,0.10731867088887773,11059.168661166865,11442.340379617575,11245.818987570243,11629.081308546683
path_prev1_b3_p95,0.24386635178046276,0.12285861240495966,13883.510887166956,15206.026589547275,14661.01424406116,15460.522882618303
path_prev1_b4_mean,0.21526321118185304,0.13136422962585645,13423.472596569269,14487.183185961247,14026.26996800468,14757.883394567509
path_prev1_b4_std,0.20233896291887124,0.07965531089578598,1188.8519748198646,1464.2347391777025,1360.167782220169,1489.6632212087625
path_prev1_b4_p05,0.11168252329844053,0.10504121994323215,11750.133972241065,12215.811281568767,11977.497827675617,12441.229882204545
path_prev1_b4_p95,0.2356919888451594,0.12834518622790447,15457.441949473643,16866.16257082442,16275.146182786719,17167.913191577783
path_prev1_b5_mean,-0.05650707486727594,0.018558515885158493,17993.95847751877,17748.43517146278,17788.689450265723,17879.487060982683
path_prev1_b5_std,0.24609374960705213,0.0505119657290747,1334.8664532384641,1634.7992245416633,1538.9663589272657,1611.2479434675593
path_prev1_b5_p05,-0.2038253375173825,-0.007503026841035639,15880.279270895826,15076.302082526414,15291.860458299936,15260.364642885286
path_prev1_b5_p95,0.03896311407639023,0.030885968935409604,20141.96112277685,20345.999360380883,20245.465526375763,20433.40074587968
path_prev1_b6_mean,-0.13103828232435868,0.010725670427650696,18089.933210898973,17506.30052858136,17644.596016335054,17693.135613187813
path_prev1_b6_std,0.09576448588084537,-0.0926098999836207,1534.171592895982,1632.1536058670079,1630.267406479853,1538.3621890700658
path_prev1_b6_p05,-0.18007295680102442,0.03142029420297947,15715.271112720562,14889.894847564567,15065.631545813136,15212.183137901713
path_prev1_b6_p95,-0.09445336428309642,-0.016134175714609705,20549.059578249868,20102.08868050176,20237.21839883899,20159.6724282692
path_prev1_b7_mean,-0.04026890911220257,0.07445804888966641,15781.546867776397,15605.121430202653,15568.837766305985,15890.12286191734
path_prev1_b7_std,-0.002161510502223925,-0.05972892162868699,1486.6877301885613,1484.4009471398415,1499.7162734114631,1441.8991433650585
