seed,period,n,f1,auroc
28,cutoff,1410,0.7882534775888718,0.8926727178763616
28,post,3182,0.7658164955283207,0.8563955064421482
29,full,4592,0.7667672313761894,0.863371363225973
29,cutoff,1410,0.7881619937694704,0.8830842302139389
29,post,3182,0.7576859504132232,0.8530972939788237
30,full,4592,0.7656322371468273,0.8621592971513856
30,cutoff,1410,0.786046511627907,0.8828104492059325
30,post,3182,0.7569352708058125,0.8518122528383723
31,full,4592,0.7691948658109685,0.8659237075901631
31,cutoff,1410,0.7925407925407926,0.8853513830555191
31,post,3182,0.7591727818545697,0.8558445752009185
32,full,4592,0.7670401493930906,0.8645938897282822
32,cutoff,1410,0.7782945736434108,0.8848653448615303
32,post,3182,0.7621910487641951,0.854596807628524
33,full,4592,0.7713025307638728,0.8657125796911852
33,cutoff,1410,0.7981293842556508,0.8871417262764143
33,post,3182,0.7599206349206349,0.8546318886337543
34,full,4592,0.7709445346948248,0.8693481061443593
34,cutoff,1410,0.7928348909657321,0.8944476801417509
34,post,3182,0.7616528925619834,0.8565543675851511
35,full,4592,0.7676532276858541,0.8647854403129914
35,cutoff,1410,0.7805255023183926,0.8818701601260007
35,post,3182,0.7620954287620955,0.8563658071820386
36,full,4592,0.7707362534948742,0.8663951945754716
36,cutoff,1410,0.7807900852052673,0.882843261911012
36,post,3182,0.7664111962679107,0.8579691685801761
37,full,4592,0.7723369691343699,0.867274062438581
37,cutoff,1410,0.7910216718266254,0.888020491534322
37,post,3182,0.7643354325488896,0.8570480928689884
38,full,4592,0.7715736040609137,0.8660703455127261
38,cutoff,1410,0.7950116913484022,0.8862096403727523
38,post,3182,0.7617174696820714,0.855429582854956
39,full,4592,0.7690515031461198,0.8652321677537835
39,cutoff,1410,0.783011583011583,0.882888379380496
39,post,3182,0.7630173564753004,0.8569001945401199
40,full,4592,0.7657196087564043,0.8624124586957056
40,cutoff,1410,0.7885360185902401,0.8847792115106969
40,post,3182,0.755910755910756,0.8511349502487562
41,full,4592,0.7714219005370068,0.8675143643745087
41,cutoff,1410,0.7863247863247863,0.8838819891061819
41,post,3182,0.7650200267022697,0.8596205670366118
42,full,4592,0.7712082262210797,0.8667725377112814
42,cutoff,1410,0.7865519937451134,0.8858138371177319
42,post,3182,0.7646666666666667,0.8568202656588851
43,full,4592,0.7708670520231213,0.866675226943298
43,cutoff,1410,0.7906976744186046,0.8840583573959837
43,post,3182,0.7624382207578254,0.8578338276565889
44,full,4592,0.767719298245614,0.8663180369251179
44,cutoff,1410,0.7822706065318819,0.8806407090825568
44,post,3182,0.761458681833389,0.8589442610664625
45,full,4592,0.7647331786542924,0.8630714656421974
45,cutoff,1410,0.7833461835003855,0.8830791032287701
45,post,3182,0.7567208762031198,0.8537002487562189
