id,plume_id,mask_pixels,swir_nd_true_contrast,swir_nd_shifted_contrast,b11_true_contrast,b11_shifted_contrast,b12_true_contrast,b12_shifted_contrast,visible_true_contrast,visible_shifted_contrast
11504,GAO20200719t184002p0000-A,2864,0.7631269862178248,0.043569305530573824,1.2806138538393874,-0.43157646091287943,0.8293003429162971,-0.32799608475396624,2.321964007590659,-0.4770078487980712
935,GAO20191020t173137p0000-C,6827,0.04601113043636893,0.24247497647592478,0.08961439537384108,-0.6379174898752116,0.05582722840285275,-0.5798745020829111,-0.03509077459251548,-0.449174317976482
108793,ang20220501t173311-A,1237,0.2936270175272916,0.2239025250872723,-0.03848799162389205,-0.43537460880150475,-0.15719658444606738,-0.44769414394234897,0.07464701330247238,-0.44397933995997
60127,GAO20230825t184144p0000-B,931,0.8143151672458369,0.37155303081991475,0.15958980198764,-0.0037272040455908783,0.0439404252976941,-0.10306729963749989,0.19507725218242306,-0.012234432431669178
62442,GAO20230925t181824p0000-A,4170,-0.5853457621067499,0.23559682523380285,-0.37288103580316,0.08689571256949322,-0.14985227810147886,-0.003919219020078943,1.2511787539297614,-0.16487297543392887
3769,GAO20191023t173308p0000-D,10760,0.20372428484837599,0.11076495259984594,0.43492298095381604,0.06863749735621763,0.412385506385438,0.03744401392437052,0.3637208411453003,0.01160620213664181
3945,GAO20191023t174556p0000-F,2949,-0.48096042337149136,0.24077001598354209,0.47065713061243303,0.26804579814782226,0.49858907134994207,0.15186570766764318,0.4378089020011841,0.17630133330685152
108523,ang20220501t160258-C,6826,-0.06694042586272544,0.014943559145235135,0.02575066117566541,0.02206084490807966,0.04465947104957068,0.025345076323720198,0.18792000252097826,-0.20002506189765473
212991,tan20241202t032459c00s4001-K,27772,1.228583534880201,-0.08533991998296726,-0.593289537373101,0.14041407698261973,-0.8725674191657495,0.16069839028646915,0.3334110832169457,0.0640022047991299
141683,emi20230820t192855p13028-E,15697,0.15330000148962591,-0.004741520274645751,-0.3285519871189612,-0.07523718035229703,-0.33235404535850466,-0.06566145018736597,0.2325915169687457,-0.007531524674393757
241755,tan20250610t075544c12s4001-I,9416,1.3585839732045346,-0.0805567641482295,-1.7163594038027254,-0.13443187236364504,-1.6764646680682715,-0.1301964325063897,-1.1852730501807756,-0.20559541285541
