plume_id,has_all6_files,has_all6_center_nonzero,zero_or_missing_timepoints
GAO20200807t163414p0000-A,True,True,0
GAO20201120t182953p0000-2,True,True,0
GAO20201121t185745p0000-A,True,True,0
GAO20201121t192431p0000-1,True,True,0
GAO20201121t193350p0000-A,True,True,0
GAO20201121t201245p0000-1,True,True,0
GAO20201121t201245p0000-A,True,True,0
GAO20201121t201245p0000-B,True,True,0
GAO20201121t202345p0000-1,True,True,0
GAO20201121t202345p0000-7,True,True,0
GAO20201121t202345p0000-A,True,True,0
GAO20201121t202345p0000-B,True,True,0
GAO20201121t202345p0000-C,True,True,0
GAO20201121t203403p0000-A,True,True,0
GAO20210505t174931p0000-1,True,True,0
GAO20210506t175942p0000-1,True,False,2
GAO20210506t175942p0000-2,True,False,6
GAO20210506t181508p0000-1,True,True,0
GAO20210506t181508p0000-2,True,True,0
GAO20210506t182124p0000-1,True,True,0
GAO20210506t182124p0000-2,True,True,0
GAO20210719t180314p0000-1,True,True,0
GAO20210719t181451p0000-1,True,True,0
GAO20210719t182607p0000-2,True,True,0
GAO20210719t183655p0000-1,True,True,0
GAO20210720t174343p0000-A,True,True,0
GAO20210919t182411p0000-A,True,True,0
GAO20210919t182411p0000-B,True,True,0
GAO20210919t185950p0000-A,True,True,0
GAO20210919t193818p0000-A,True,True,0
GAO20210922t183238p0000-A,True,True,0
GAO20210922t183238p0000-B,True,True,0
GAO20210922t184257p0000-A,True,True,0
GAO20210922t191126p0000-A,True,True,0
GAO20210922t192226p0000-A,True,True,0
GAO20210922t193155p0000-A,True,True,0
GAO20210922t200529p0000-A,True,True,0
GAO20210922t202824p0000-A,True,True,0
GAO20210922t203935p0000-A,True,True,0
GAO20210922t203935p0000-B,True,True,0
GAO20210924t180043p0000-A,True,True,0
GAO20210924t182719p0000-A,True,True,0
GAO20210924t184133p0000-A,True,True,0
GAO20210924t190756p0000-A,True,True,0
GAO20210924t194550p0000-A,True,True,0
GAO20210924t202423p0000-A,True,True,0
GAO20210924t202423p0000-B,True,True,0
GAO20210924t202423p0000-C,True,True,0
GAO20210927t181518p0000-A,True,True,0
GAO20210927t181518p0000-B,True,True,0
GAO20210927t183644p0000-A,True,True,0
GAO20210927t184012p0000-A,True,True,0
GAO20210927t191105p0000-B,True,True,0
GAO20210927t193230p0000-A,True,True,0
GAO20210927t195308p0000-A,True,True,0
GAO20210927t195308p0000-B,True,True,0
GAO20210927t200410p0000-A,True,True,0
GAO20210927t200410p0000-B,True,True,0
GAO20211006t175951p0000-A,True,True,0
GAO20211006t175951p0000-B,True,True,0
GAO20211006t175951p0000-C,True,True,0
GAO20211006t175951p0000-D,True,True,0
GAO20211006t175951p0000-E,True,True,0
GAO20211006t175951p0000-F,True,False,5
GAO20211006t175951p0000-G,True,False,5
GAO20211006t181755p0000-C,True,True,0
GAO20211006t181755p0000-D,True,True,0
GAO20211006t181755p0000-F,True,True,0
GAO20211006t183559p0000-H,True,False,1
GAO20211006t183559p0000-I,True,True,0
GAO20211006t183559p0000-J,True,True,0
GAO20211006t183559p0000-L,True,True,0
GAO20211006t183559p0000-M,True,True,0
GAO20211006t183559p0000-N,True,True,0
GAO20211006t183559p0000-O,True,True,0
GAO20211006t183559p0000-P,True,False,5
GAO20211006t185434p0000-I,True,True,0
GAO20211006t185434p0000-J,True,True,0
GAO20211006t185434p0000-K,True,True,0
GAO20211006t185434p0000-L,True,True,0
GAO20211007t161356p0000-D,True,True,0
GAO20211008t174344p0000-A,True,True,0
GAO20211008t174344p0000-B,True,True,0
GAO20211008t174344p0000-C,True,True,0
GAO20211008t174344p0000-D,True,False,6
GAO20211008t174344p0000-E,True,True,0
GAO20211008t174344p0000-F,True,True,0
GAO20211008t180032p0000-A,True,True,0
GAO20211008t180032p0000-B,True,True,0
GAO20211008t180032p0000-C,True,True,0
GAO20211008t180032p0000-D,True,True,0
GAO20211008t180032p0000-E,True,True,0
GAO20211008t180032p0000-F,True,True,0
GAO20211008t180032p0000-G,True,True,0
GAO20211008t181755p0000-A,True,True,0
GAO20211008t181755p0000-B,True,True,0
GAO20211008t181755p0000-C,True,True,0
GAO20211008t181755p0000-D,True,True,0
GAO20211008t181755p0000-F,True,True,0
GAO20211008t181755p0000-H,True,True,0
GAO20211008t181755p0000-I,True,True,0
GAO20211008t181755p0000-J,True,False,6
GAO20211008t181755p0000-K,True,True,0
GAO20211008t183529p0000-A,True,True,0
GAO20211011t174538p0000-D,True,True,0
GAO20211011t174538p0000-E,True,True,0
GAO20211011t174538p0000-G,True,True,0
GAO20211011t174538p0000-H,True,True,0
GAO20211011t174538p0000-K,True,True,0
GAO20211011t175703p0000-E,True,False,5
GAO20211011t182529p0000-E,True,False,5
GAO20211011t182529p0000-F,True,True,0
GAO20211011t184233p0000-A,True,False,5
GAO20211021t172155p0000-A,True,True,0
GAO20211021t173002p0000-A,True,True,0
GAO20211021t173002p0000-B,True,True,0
GAO20211111t200421p0000-A,True,True,0
GAO20220428t174036p0000-A,True,True,0
GAO20220506t194111p0000-A,True,False,2
GAO20220506t195745p0000-A,True,True,0
GAO20220506t200303p0000-A,True,True,0
GAO20220610t181816p0001-A,True,True,0
GAO20220610t183846p0000-A,True,True,0
GAO20220610t183846p0000-B,True,True,0
GAO20220615t194322p0000-A,True,True,0
GAO20220920t170341p0000-A,True,True,0
GAO20220920t170827p0000-A,True,True,0
GAO20220920t171237p0000-A,True,True,0
GAO20220920t171720p0000-A,True,True,0
GAO20220920t172819p0000-A,True,True,0
GAO20220920t173220p0000-A,True,True,0
GAO20220920t174733p0000-A,True,True,0
GAO20220920t180142p0000-A,True,True,0
GAO20220922t172030p0000-A,True,True,0
GAO20220923t164450p0000-A,True,True,0
