plume_id,timepoint,raw_path,size,read_ok,bands,height,width,dtype,crs,center_nonzero_bands,center_max,error
GAO20191010t171502p0000-I,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-I/s2_prev1.tif,7678579,True,12,513,599,uint16,EPSG:4326,12,4536,
GAO20191010t171502p0000-J,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-J/s2_prev1.tif,7676048,True,12,513,599,uint16,EPSG:4326,12,3857,
GAO20191010t171502p0000-K,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-K/s2_prev1.tif,7712754,True,12,514,600,uint16,EPSG:4326,12,4304,
GAO20191010t171502p0000-L,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-L/s2_prev1.tif,7684033,True,12,513,599,uint16,EPSG:4326,12,4361,
GAO20191010t171502p0000-M,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-M/s2_prev1.tif,7726470,True,12,514,600,uint16,EPSG:4326,12,4932,
GAO20191010t171502p0000-N,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-N/s2_prev1.tif,5384158,True,12,513,599,uint16,EPSG:4326,12,3643,
GAO20191010t171502p0000-O,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t171502p0000-O/s2_prev1.tif,5576841,True,12,514,600,uint16,EPSG:4326,12,5224,
GAO20191012t175419p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191012t175419p0000-A/s2_prev1.tif,7838096,True,12,514,607,uint16,EPSG:4326,12,3455,
GAO20191012t185226p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191012t185226p0000-B/s2_prev1.tif,7713661,True,12,514,607,uint16,EPSG:4326,12,4184,
GAO20191013t170924p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191013t170924p0000-A/s2_prev1.tif,7739359,True,12,514,608,uint16,EPSG:4326,12,4426,
GAO20191017t182001p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191017t182001p0000-A/s2_prev1.tif,2054267,True,12,514,597,uint16,EPSG:4326,0,0,
GAO20191017t183338p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191017t183338p0000-C/s2_prev1.tif,2911825,True,12,514,599,uint16,EPSG:4326,0,0,
GAO20191017t183338p0000-E,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191017t183338p0000-E/s2_prev1.tif,4632174,True,12,514,599,uint16,EPSG:4326,12,3729,
GAO20191017t183338p0000-J,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191017t183338p0000-J/s2_prev1.tif,517622,True,12,514,599,uint16,EPSG:4326,0,0,
GAO20191017t184807p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191017t184807p0000-A/s2_prev1.tif,7748040,True,12,514,598,uint16,EPSG:4326,12,3780,
GAO20191017t190156p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191017t190156p0000-D/s2_prev1.tif,7767567,True,12,514,598,uint16,EPSG:4326,12,3699,
GAO20191018t155430p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t155430p0000-A/s2_prev1.tif,7802706,True,12,514,605,uint16,EPSG:4326,12,3821,
GAO20191018t155430p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t155430p0000-B/s2_prev1.tif,7851618,True,12,514,605,uint16,EPSG:4326,12,3643,
GAO20191018t160542p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t160542p0000-A/s2_prev1.tif,3557677,True,12,513,606,uint16,EPSG:4326,0,0,
GAO20191018t160542p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t160542p0000-B/s2_prev1.tif,7842141,True,12,513,605,uint16,EPSG:4326,12,5954,
GAO20191018t162013p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t162013p0000-A/s2_prev1.tif,5572747,True,12,513,605,uint16,EPSG:4326,12,3835,
GAO20191018t162013p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t162013p0000-B/s2_prev1.tif,7841319,True,12,514,605,uint16,EPSG:4326,12,3834,
GAO20191018t162013p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t162013p0000-C/s2_prev1.tif,7816634,True,12,513,605,uint16,EPSG:4326,12,3238,
GAO20191018t162013p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t162013p0000-D/s2_prev1.tif,7764933,True,12,514,605,uint16,EPSG:4326,12,4628,
GAO20191018t163314p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t163314p0000-A/s2_prev1.tif,7774099,True,12,514,605,uint16,EPSG:4326,12,4415,
GAO20191018t163314p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t163314p0000-B/s2_prev1.tif,7327581,True,12,513,605,uint16,EPSG:4326,12,5757,
GAO20191018t163314p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t163314p0000-C/s2_prev1.tif,7490115,True,12,514,605,uint16,EPSG:4326,12,4060,
GAO20191018t163314p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t163314p0000-D/s2_prev1.tif,7670575,True,12,514,605,uint16,EPSG:4326,12,4935,
GAO20191018t164922p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t164922p0000-A/s2_prev1.tif,5818640,True,12,514,605,uint16,EPSG:4326,12,4018,
GAO20191018t164922p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t164922p0000-B/s2_prev1.tif,7739503,True,12,514,605,uint16,EPSG:4326,12,4194,
GAO20191018t170521p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t170521p0000-A/s2_prev1.tif,1500894,True,12,514,605,uint16,EPSG:4326,0,0,
GAO20191018t170521p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t170521p0000-B/s2_prev1.tif,5932562,True,12,514,604,uint16,EPSG:4326,12,4448,
GAO20191018t170521p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t170521p0000-C/s2_prev1.tif,6013396,True,12,514,605,uint16,EPSG:4326,12,5534,
GAO20191018t170521p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t170521p0000-D/s2_prev1.tif,5581206,True,12,514,604,uint16,EPSG:4326,12,5348,
GAO20191018t170521p0000-E,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t170521p0000-E/s2_prev1.tif,6329206,True,12,514,605,uint16,EPSG:4326,12,4824,
GAO20191018t172527p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191018t172527p0000-A/s2_prev1.tif,4826172,True,12,514,605,uint16,EPSG:4326,12,5336,
GAO20191019t174717p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t174717p0000-A/s2_prev1.tif,2479537,True,12,513,597,uint16,EPSG:4326,0,0,
GAO20191019t174717p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t174717p0000-B/s2_prev1.tif,7084104,True,12,514,597,uint16,EPSG:4326,12,2668,
GAO20191019t174717p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t174717p0000-C/s2_prev1.tif,7711058,True,12,514,597,uint16,EPSG:4326,12,4294,
GAO20191019t174717p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t174717p0000-D/s2_prev1.tif,7680468,True,12,514,597,uint16,EPSG:4326,12,4115,
GAO20191019t174717p0000-E,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t174717p0000-E/s2_prev1.tif,7588335,True,12,514,597,uint16,EPSG:4326,12,5750,
GAO20191019t174717p0000-F,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t174717p0000-F/s2_prev1.tif,7616980,True,12,514,597,uint16,EPSG:4326,12,3347,
GAO20191019t180726p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t180726p0000-A/s2_prev1.tif,7551634,True,12,514,596,uint16,EPSG:4326,12,3698,
GAO20191019t180726p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t180726p0000-B/s2_prev1.tif,7545891,True,12,513,597,uint16,EPSG:4326,12,5142,
GAO20191019t182124p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t182124p0000-A/s2_prev1.tif,7573245,True,12,514,597,uint16,EPSG:4326,12,3465,
GAO20191019t182124p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t182124p0000-B/s2_prev1.tif,7548632,True,12,514,596,uint16,EPSG:4326,12,5022,
GAO20191019t182124p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t182124p0000-C/s2_prev1.tif,7564243,True,12,514,597,uint16,EPSG:4326,12,3698,
GAO20191019t184202p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t184202p0000-A/s2_prev1.tif,7655980,True,12,514,596,uint16,EPSG:4326,12,4891,
GAO20191019t184202p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t184202p0000-B/s2_prev1.tif,7565582,True,12,514,597,uint16,EPSG:4326,12,4381,
GAO20191019t185547p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191019t185547p0000-A/s2_prev1.tif,7652759,True,12,514,596,uint16,EPSG:4326,12,4197,
