id,plume_id,label,dx_anchor_px,dy_anchor_px,anchor_radius_sq,old_t0_path,new_t0_path,legacy_shape,new_gee_shape,grid_size,shift_y_to_apply_new_px,shift_x_to_apply_new_px,subpixel_shift_y_to_apply_new_px,subpixel_shift_x_to_apply_new_px,subpixel_shift_magnitude_px,subpixel_shift_magnitude_m,search_peak_correlation,before_valid_fraction,before_mae_dn,before_rmse_dn,before_mae_robust_z,before_rmse_robust_z,before_median_band_correlation,before_median_affine_nrmse,after_valid_fraction,after_mae_dn,after_rmse_dn,after_mae_robust_z,after_rmse_robust_z,after_median_band_correlation,after_median_affine_nrmse,mae_dn_ratio_after_before,rmse_robust_z_ratio_after_before
139405,emi20230629t092044p06007-A,1,-5,4,41,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139405/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139405/s2_0.tif,12x224x224,12x36x36,36,0,2,0.1626388397918102,1.6029516711232858,1.6111813840054636,16.111813840054637,0.2911820671890194,1.0,176.8201446533203,277.26397705078125,0.5963495373725891,0.9367032051086426,0.6353039491503231,0.7722621913534312,1.0,185.69956970214844,284.017822265625,0.6333051919937134,0.9659730195999146,0.646967571350753,0.7625175156155486,1.0502172705843977,1.0312476933265935
139473,emi20230629t092056p06008-A,0,205,-217,89114,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139473/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139473/s2_0.tif,12x224x224,12x36x36,36,-17,-18,-17.10617684553647,-18.0,24.8318603062833,248.318603062833,0.21316859399288185,1.0,351.37640380859375,507.7701110839844,1.8769159317016602,2.8993871212005615,-0.05191141950607796,0.9986516932969491,1.0,215.2235870361328,276.1497802734375,1.2595592737197876,2.024395704269409,0.24107514096344412,0.9705064535640425,0.6125157657239049,0.6982150432644396
139594,emi20230726t105454p07048-A,1,0,-1,1,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139594/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139594/s2_0.tif,12x224x224,12x36x36,36,13,17,13.079411132188909,17.104864234681397,21.532472594936934,215.32472594936934,0.1592672990118458,1.0,190.49496459960938,267.9264221191406,0.6830995082855225,1.057116985321045,0.45586230290991325,0.8900503136259607,1.0,300.2644348144531,374.4292297363281,1.072623372077942,1.397464394569397,0.08264466101211711,0.9963255287594581,1.5762329227208813,1.3219581313840956
139580,emi20230728t105301p07042-A,1,-2,1,5,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139580/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139580/s2_0.tif,12x224x224,12x36x36,36,-1,-1,-0.9952487052184694,-0.7184335838190828,1.2274635634503255,12.274635634503255,0.3703017504173583,0.9999142661179699,145.31753540039062,264.08306884765625,0.9941672682762146,1.8841934204101562,0.523879018239079,0.8517926826692386,0.9999092970521541,133.89276123046875,234.45272827148438,0.9115241765975952,1.6680246591567993,0.6065824540326078,0.7950205824126688,0.921380622521271,0.8852725209037718
139689,emi20230728t105313p07043-B,0,-215,-219,94186,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139689/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139689/s2_0.tif,12x224x224,12x36x36,36,1,15,0.5979502389626927,14.768385611343401,14.780485717783783,147.80485717783785,0.2147426964404082,1.0,103.05558013916016,131.3618927001953,1.003825306892395,1.2736551761627197,0.07789184156759453,0.9969618152252415,1.0,99.35574340820312,124.21904754638672,0.9905090928077698,1.2455681562423706,0.14460090730666128,0.9894900593770966,0.9640986278864183,0.9779477048058094
139750,emi20230728t105313p07043-C,1,3,1,10,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139750/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139750/s2_0.tif,12x224x224,12x36x36,36,0,1,-0.1137382123833056,0.7392718338323432,0.7479700697581325,7.479700697581325,0.24873733318965233,1.0,117.71321868896484,161.1609649658203,0.7540825605392456,1.1090155839920044,0.6124245644454864,0.7905290335362493,1.0,115.3038101196289,159.07412719726562,0.7408912777900696,1.0935063362121582,0.6197164347036062,0.7848258026837874,0.9795315377816458,0.9860153022160255
139704,emi20230728t105313p07043-D,1,5,2,29,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139704/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139704/s2_0.tif,12x224x224,12x36x36,36,-13,18,-12.607694088543187,18.0,21.976213282326118,219.76213282326117,0.21335563010958766,1.0,87.81742095947266,115.01850891113281,0.7874372601509094,1.1234607696533203,0.3533434221923345,0.935493680359953,1.0,84.86141204833984,104.77861022949219,0.8374151587486267,1.071876049041748,0.5681476186476718,0.8229266573790037,0.9663391514025788,0.9540840926492784
139719,emi20230728t105313p07043-E,1,-1,-2,5,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00139719/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00139719/s2_0.tif,12x224x224,12x36x36,36,-1,3,-1.0292179829478778,3.324642177424937,3.480306777331004,34.80306777331004,0.2699416994433995,1.0,93.5423812866211,132.6600341796875,0.7422888278961182,1.1325803995132446,0.5355030508111003,0.8445332927552379,1.0,93.56232452392578,121.42363739013672,0.7339960336685181,1.0016130208969116,0.6006265543953775,0.7995297006085118,1.0002132000172583,0.8843637249305925
140347,emi20230731t191834p13015-B,1,-3,5,34,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00140347/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00140347/s2_0.tif,12x224x224,12x36x36,36,-1,-1,-0.7374977998049139,-0.8202322072046065,1.1030339425660614,11.030339425660614,0.3804623278260827,1.0,270.5225524902344,432.1052551269531,0.6643264293670654,1.0368117094039917,0.8135174891778747,0.5815404498413904,1.0,238.32626342773438,403.3623962402344,0.5824515223503113,0.9575624465942383,0.8444596202034188,0.5356192209451581,0.8809848244956869,0.9235644600741347
140486,emi20230731t191834p13015-C,1,-3,0,9,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00140486/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00140486/s2_0.tif,12x224x224,12x36x36,36,0,1,0.06161822129251321,0.8144559299657584,0.8167834884788268,8.167834884788267,0.5859711869280861,1.0,233.3390350341797,380.65576171875,0.3856433629989624,0.6464731097221375,0.9151897888367935,0.4030231388008201,1.0,218.71070861816406,368.86676025390625,0.3621324896812439,0.6112094521522522,0.9201391681815578,0.39159151060531344,0.9373087044185605,0.9454522438140667
