plume_id,event_group_id,status,reason,physical_t0,gee_only_t0,physical_prev1,gee_only_prev1,physical_prev2,gee_only_prev2,physical_prev3,gee_only_prev3,physical_seasonal,gee_only_seasonal,physical_year,gee_only_year,physical_raw_cm_mask
GAO20191019t182124p0000-B,GAO20191019t182124p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t182124p0000-C,GAO20191019t182124p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t184202p0000-A,GAO20191019t184202p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t184202p0000-B,GAO20191019t184202p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t185547p0000-A,GAO20191019t185547p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t185547p0000-B,GAO20191019t185547p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t191619p0000-A,GAO20191019t191619p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191019t191619p0000-B,GAO20191019t191619p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t175740p0000-A,GAO20191022t175740p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t175740p0000-B,GAO20191022t175740p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t175740p0000-C,GAO20191022t175740p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t181133p0000-A,GAO20191022t181133p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t181133p0000-B,GAO20191022t181133p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t181133p0000-C,GAO20191022t181133p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t181133p0000-D,GAO20191022t181133p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t182544p0000-A,GAO20191022t182544p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t182544p0000-B,GAO20191022t182544p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t182544p0000-C,GAO20191022t182544p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t183947p0000-A,GAO20191022t183947p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t183947p0000-B,GAO20191022t183947p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t185225p0000-A,GAO20191022t185225p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t185651p0000-A,GAO20191022t185651p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t185651p0000-B,GAO20191022t185651p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t185651p0000-C,GAO20191022t185651p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t185651p0000-D,GAO20191022t185651p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191022t185651p0000-E,GAO20191022t185651p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t174632p0000-A,GAO20191101t174632p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t174632p0000-B,GAO20191101t174632p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t175852p0000-A,GAO20191101t175852p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t175852p0000-B,GAO20191101t175852p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t181517p0000-A,GAO20191101t181517p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t181517p0000-B,GAO20191101t181517p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t181517p0000-E,GAO20191101t181517p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t182727p0000-C,GAO20191101t182727p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t182727p0000-E,GAO20191101t182727p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t182727p0000-F,GAO20191101t182727p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t182727p0000-G,GAO20191101t182727p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t182727p0000-H,GAO20191101t182727p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t182727p0000-I,GAO20191101t182727p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t184322p0000-A,GAO20191101t184322p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t184322p0000-B,GAO20191101t184322p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191101t184322p0000-C,GAO20191101t184322p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200714t172448p0000-H,GAO20200714t172448p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t180121p0000-A,GAO20200715t180121p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t180121p0000-B,GAO20200715t180121p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t180121p0000-C,GAO20200715t180121p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
