plume_id,status,reason
GAO20210927t183644p0000-A,ok,
GAO20210927t184012p0000-A,ok,
GAO20210927t191105p0000-B,ok,
GAO20210927t193230p0000-A,ok,
GAO20210927t195308p0000-A,ok,
GAO20210927t195308p0000-B,ok,
GAO20210927t200410p0000-A,ok,
GAO20210927t200410p0000-B,ok,
GAO20211006t175951p0000-A,ok,
GAO20211006t175951p0000-B,ok,
GAO20211006t175951p0000-C,ok,
GAO20211006t175951p0000-D,ok,
GAO20211006t175951p0000-E,ok,
GAO20211006t175951p0000-F,ok,
GAO20211006t175951p0000-G,ok,
GAO20211006t181755p0000-C,ok,
GAO20211006t181755p0000-D,ok,
GAO20211006t181755p0000-F,ok,
GAO20211006t183559p0000-H,ok,
GAO20211006t183559p0000-I,ok,
GAO20211006t183559p0000-J,ok,
GAO20211006t183559p0000-L,ok,
GAO20211006t183559p0000-M,ok,
GAO20211006t183559p0000-N,ok,
GAO20211006t183559p0000-O,ok,
GAO20211006t183559p0000-P,ok,
GAO20211006t185434p0000-I,ok,
GAO20211006t185434p0000-J,ok,
GAO20211006t185434p0000-K,ok,
GAO20211006t185434p0000-L,ok,
GAO20211007t161356p0000-D,ok,
GAO20211008t174344p0000-A,ok,
GAO20211008t174344p0000-B,ok,
GAO20211008t174344p0000-C,ok,
GAO20211008t174344p0000-D,ok,
GAO20211008t174344p0000-E,ok,
GAO20211008t174344p0000-F,ok,
GAO20211008t180032p0000-A,ok,
GAO20211008t180032p0000-B,ok,
GAO20211008t180032p0000-C,ok,
GAO20211008t180032p0000-D,ok,
GAO20211008t180032p0000-E,ok,
GAO20211008t180032p0000-F,ok,
GAO20211008t180032p0000-G,ok,
GAO20211008t181755p0000-A,ok,
GAO20211008t181755p0000-B,ok,
GAO20211008t181755p0000-C,ok,
GAO20211008t181755p0000-D,ok,
GAO20211008t181755p0000-F,ok,
GAO20211008t181755p0000-H,ok,
GAO20211008t181755p0000-I,ok,
GAO20211008t181755p0000-J,ok,
GAO20211008t181755p0000-K,ok,
GAO20211008t183529p0000-A,ok,
GAO20211011t174538p0000-D,ok,
GAO20211011t174538p0000-E,ok,
GAO20211011t174538p0000-G,ok,
GAO20211011t174538p0000-H,ok,
GAO20211011t174538p0000-K,ok,
GAO20211011t175703p0000-E,ok,
GAO20211011t182529p0000-E,ok,
GAO20211011t182529p0000-F,ok,
GAO20211011t184233p0000-A,ok,
GAO20211021t172155p0000-A,ok,
GAO20211021t173002p0000-A,ok,
GAO20211021t173002p0000-B,ok,
GAO20211111t200421p0000-A,ok,
GAO20220428t174036p0000-A,ok,
GAO20220506t194111p0000-A,ok,
GAO20220506t195745p0000-A,ok,
GAO20220506t200303p0000-A,ok,
GAO20220610t181816p0001-A,ok,
GAO20220610t183846p0000-A,ok,
GAO20220610t183846p0000-B,ok,
GAO20220615t194322p0000-A,ok,
GAO20220920t170341p0000-A,ok,
GAO20220920t170827p0000-A,ok,
GAO20220920t171237p0000-A,ok,
GAO20220920t171720p0000-A,ok,
GAO20220920t172819p0000-A,ok,
GAO20220920t173220p0000-A,ok,
GAO20220920t174733p0000-A,ok,
GAO20220920t180142p0000-A,ok,
GAO20220922t172030p0000-A,ok,
GAO20220923t164450p0000-A,ok,
GAO20220923t164450p0000-B,ok,
GAO20220923t164450p0000-C,ok,
GAO20220923t170108p0000-A,ok,
GAO20220923t171045p0000-A,ok,
GAO20220923t172122p0000-A,ok,
GAO20220923t172122p0000-B,ok,
GAO20220923t173123p0000-A,ok,
GAO20220923t174201p0000-A,ok,
GAO20220923t174201p0000-B,ok,
GAO20220923t175137p0000-A,ok,
GAO20220923t175137p0000-B,ok,
GAO20220923t180207p0000-A,ok,
GAO20220923t182706p0000-A,ok,
GAO20220928t164641p0000-A,ok,
GAO20220928t165119p0000-A,ok,
GAO20220928t165807p0000-A,ok,
GAO20220928t170324p0000-A,ok,
GAO20220928t170821p0000-A,ok,
GAO20220928t172257p0000-A,ok,
GAO20220928t182922p0000-A,ok,
GAO20220928t193622p0000-A,ok,
GAO20220928t195023p0000-A,ok,
GAO20220928t195526p0000-A,ok,
GAO20220928t200357p0000-A,ok,
GAO20220928t200357p0000-B,ok,
GAO20220928t200806p0000-A,ok,
GAO20220928t201225p0000-A,ok,
GAO20220928t201225p0000-B,ok,
GAO20220928t201644p0000-B,ok,
GAO20220928t202112p0000-A,ok,
GAO20221017t184522p0000-B,ok,
GAO20221017t184522p0000-C,ok,
GAO20221017t185010p0000-A,ok,
GAO20221020t185539p0000-A,ok,
GAO20221020t190520p0000-A,ok,
GAO20221020t200626p0000-A,ok,
GAO20221020t202758p0000-A,ok,
GAO20230430t171617p0000-A,ok,
GAO20230430t171617p0000-B,ok,
GAO20230430t171617p0000-C,ok,
GAO20230430t173028p0000-A,ok,
GAO20230430t173747p0000-D,ok,
GAO20230430t175318p0000-A,ok,
GAO20230430t180128p0000-M,ok,
GAO20230430t180128p0000-N,ok,
GAO20230430t185208p0000-A,ok,
GAO20230430t185208p0000-B,ok,
GAO20230430t190032p0000-A,ok,
GAO20230430t190032p0000-B,ok,
GAO20230430t190032p0000-G,ok,
GAO20230430t190702p0000-A,ok,
GAO20230430t190702p0000-B,ok,
GAO20230430t190702p0000-C,ok,
GAO20230504t170652p0000-A,ok,
GAO20230504t170652p0000-B,ok,
GAO20230504t171112p0000-A,ok,
GAO20230504t172357p0000-A,ok,
GAO20230504t180217p0000-C,ok,
GAO20230509t172829p0000-A,ok,
GAO20230509t172829p0000-C,ok,
GAO20230509t175136p0000-A,ok,
GAO20230509t175834p0000-B,ok,
GAO20230612t170617p0000-A,ok,
GAO20230614t185623p0000-A,ok,
GAO20230614t185623p0000-B,ok,
GAO20230614t190924p0000-A,ok,
GAO20230614t190924p0000-C,ok,
GAO20230614t191729p0000-A,ok,
GAO20230614t191729p0000-C,ok,
GAO20230614t191729p0000-D,ok,
GAO20230614t191729p0000-E,ok,
GAO20230614t191729p0000-F,ok,
GAO20230614t191729p0000-H,ok,
GAO20230614t192749p0000-A,ok,
GAO20230614t193553p0000-B,ok,
GAO20230614t193553p0000-C,ok,
GAO20230614t193553p0000-E,ok,
GAO20230614t193553p0000-F,ok,
GAO20230614t193553p0000-G,ok,
GAO20230614t193553p0000-H,ok,
GAO20230614t200443p0000-A,ok,
GAO20230614t200443p0000-B,ok,
GAO20230615t192609p0000-B,ok,
GAO20230616t185940p0000-A,ok,
GAO20230616t185940p0000-B,ok,
GAO20230616t191224p0000-A,ok,
GAO20230616t191224p0000-B,ok,
GAO20230616t194749p0000-A,ok,
GAO20230616t195321p0000-A,ok,
GAO20230616t195919p0000-A,ok,
GAO20230616t195919p0000-B,ok,
GAO20230616t200459p0000-B,ok,
GAO20230621t194657p0000-A,ok,
GAO20230621t194657p0000-B,ok,
GAO20230626t201612p0000-A,ok,
GAO20230626t202212p0000-B,ok,
GAO20230626t202807p0000-A,ok,
GAO20230626t202807p0000-B,ok,
GAO20230626t203327p0000-A,ok,
GAO20230626t204012p0000-A,ok,
GAO20230626t204557p0000-A,ok,
GAO20230626t204557p0000-B,ok,
GAO20230626t204557p0000-C,ok,
GAO20230626t204557p0000-E,ok,
GAO20230626t204557p0000-F,ok,
GAO20230626t204557p0000-G,ok,
GAO20230626t205153p0000-A,ok,
GAO20230711t195220p0000-A,ok,
GAO20230713t194729p0000-A,ok,
GAO20230713t201929p0000-A,ok,
GAO20230713t201929p0000-B,ok,
GAO20230713t201929p0000-C,ok,
GAO20230713t202354p0000-B,ok,
GAO20230713t202354p0000-C,ok,
GAO20230713t202354p0000-D,ok,
GAO20230713t203344p0000-A,ok,
GAO20230713t203344p0000-B,ok,
GAO20230713t205034p0000-A,ok,
GAO20230715t210120p0000-A,ok,
GAO20230715t210120p0000-B,ok,
GAO20230718t195144p0000-A,ok,
