plume_id,timepoint,status,task_id,task_state,drive_folder,file_prefix,collection,bands,target_time_utc,query_start_utc,query_end_utc,selected_time_utc,selected_id,cloud_pct,nodata_pct,plume_latitude,plume_longitude,message
GAO20200714t161636p0000-D,t0,submitted,EGC56AXY266H6UXTHUCB2GFR,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-D_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:08Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:08Z,20200714T172859_20200714T174210_T13SFR,0.297265,0,32.15651399,-103.7370182,submitted; candidates=1; source=legacy_t0_event_day_window
GAO20200714t161636p0000-C,year,submitted,T45FT2OZ3CV5LIJYTQOOLJP6,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-C_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-06-05T17:45:08Z,20190605T172901_20190605T174012_T13SFR,1.511236,0,32.065004,-103.938722,submitted; candidates=23; source=legacy_year_event_day_window
GAO20200714t160234p0000-G,year,submitted,T5A2NAYBER4DFMUM3ZKUQZZT,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t160234p0000-G_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-06-05T17:45:08Z,20190605T172901_20190605T174012_T13SFR,1.511236,0,32.048471,-103.910957,submitted; candidates=23; source=legacy_year_event_day_window
GAO20200714t161636p0000-D,seasonal,submitted,G4SER4ZTFWBIURBI44KV4RUW,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-D_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.15651399,-103.7370182,submitted; candidates=8; source=legacy_seasonal_event_day_window
GAO20200714t161636p0000-E,year,submitted,OM7Y7YBNVQMTPG6BREWC22IB,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-E_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-06-05T17:45:08Z,20190605T172901_20190605T174012_T13SFR,1.511236,0,32.199861,-103.6730208,submitted; candidates=10; source=legacy_year_event_day_window
GAO20200714t161636p0000-A,t0,submitted,L63LXTYK52GPOER6K2C7WQWY,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:11Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:11Z,20200714T172859_20200714T174210_T13SER,0.538392,5.132714,32.001702,-104.016941,submitted; candidates=1; source=legacy_t0_event_day_window
GAO20200714t161636p0000-A,year,submitted,XXUW2S2IQSCDG426RNGM7UQI,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-A_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-05-16T00:00:00Z,2019-08-14T00:00:00Z,2019-07-25T17:45:14Z,20190725T172901_20190725T174145_T13SER,9.630932,3.921407,32.001702,-104.016941,submitted; candidates=13; source=legacy_year_event_day_window
GAO20200714t161636p0000-F,seasonal,submitted,XCO5WR53VLEBWH546QHURCAS,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-F_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.211836,-103.652009,submitted; candidates=8; source=legacy_seasonal_event_day_window
GAO20200714t161636p0000-A,seasonal,submitted,UCQWY43J73MXSE5CPXMJNCPZ,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-A_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-05-30T17:45:16Z,20200530T172911_20200530T173636_T13SER,0.504266,3.615675,32.001702,-104.016941,submitted; candidates=8; source=legacy_seasonal_event_day_window
GAO20200714t161636p0000-F,t0,submitted,FUUVZ5R2U6T7423MHUDZBYWE,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-F_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2020-07-14T17:45:08Z,2020-07-13T00:00:00Z,2020-07-16T00:00:00Z,2020-07-14T17:45:08Z,20200714T172859_20200714T174210_T13SFR,0.297265,0,32.211836,-103.652009,submitted; candidates=1; source=legacy_t0_event_day_window
GAO20200714t161636p0000-C,seasonal,submitted,DPIRPON7YTZ62IZKHVYZLXD3,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-C_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.065004,-103.938722,submitted; candidates=16; source=legacy_seasonal_event_day_window
GAO20200714t161636p0000-E,seasonal,submitted,74RGMNPSZNA7Z3V6LH6JFE3Z,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20200714t161636p0000-E_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2020-04-15T00:00:00Z,2020-06-14T00:00:00Z,2020-04-15T17:45:02Z,20200415T172859_20200415T173339_T13SFR,4.124711,0,32.199861,-103.6730208,submitted; candidates=8; source=legacy_seasonal_event_day_window
