plume_id,timepoint,status,raw_path,collection,bands,query_start_utc,query_end_utc,selected_time_utc,selected_id,cloud_pct,nodata_pct,candidates,attempts,size,shape,message
ang20170616t194729-B,seasonal,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/seasonal/ang20170616t194729-B/s2_seasonal.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2017-03-18T00:00:00+00:00,2017-05-17T00:00:00+00:00,2017-03-28T18:54:43Z,20170328T185421_20170328T185423_T11SKU,19.286568,0,25,1,754086,"shape=(12,514,624),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_seasonal_event_day_window
ang20170616t194729-B,year,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/year/ang20170616t194729-B/s2_year.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-04-17T00:00:00+00:00,2016-07-16T00:00:00+00:00,2016-04-19T18:44:49Z,20160419T184432_20160419T184429_T11SLU,1.077412,0,50,1,4338344,"shape=(12,514,624),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_year_event_day_window
ang20161006t181839-B,t0,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/t0/ang20161006t181839-B/s2_0.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-10-05T00:00:00+00:00,2016-10-08T00:00:00+00:00,2016-10-06T18:44:54Z,20161006T184422_20161006T184423_T11SMT,0.007767,0,1,1,5604581,"shape=(12,514,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_t0_event_day_window
ang20161006t181839-B,seasonal,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/seasonal/ang20161006t181839-B/s2_seasonal.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-07-08T00:00:00+00:00,2016-09-06T00:00:00+00:00,2016-07-08T18:45:02Z,20160708T182922_20160708T183821_T11SMT,0.866016,0,5,1,5662234,"shape=(12,514,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_seasonal_event_day_window
ang20161006t181839-B,year,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/year/ang20161006t181839-B/s2_year.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2015-08-08T00:00:00+00:00,2015-11-06T00:00:00+00:00,2015-08-23T18:44:58Z,20150823T184436_20150823T184433_T11SMT,8.311565,0,3,1,5603454,"shape=(12,514,615),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_year_event_day_window
ang20161006t184812-A,t0,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/t0/ang20161006t184812-A/s2_0.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-10-05T00:00:00+00:00,2016-10-08T00:00:00+00:00,2016-10-06T18:44:58Z,20161006T184422_20161006T184423_T11SLT,0.001981,0,1,1,5575439,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_t0_event_day_window
ang20161006t184812-A,seasonal,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/seasonal/ang20161006t184812-A/s2_seasonal.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-07-08T00:00:00+00:00,2016-09-06T00:00:00+00:00,2016-07-18T18:45:06Z,20160718T184432_20160718T184431_T11SLT,0.179153,0,2,1,5610321,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_seasonal_event_day_window
ang20161006t184812-A,year,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/year/ang20161006t184812-A/s2_year.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2015-08-08T00:00:00+00:00,2015-11-06T00:00:00+00:00,2015-09-22T18:45:05Z,20150922T184436_20150922T184430_T11SLT,4.958122,0,2,1,5615484,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_year_event_day_window
ang20161006t200146-A,t0,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/t0/ang20161006t200146-A/s2_0.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-10-05T00:00:00+00:00,2016-10-08T00:00:00+00:00,2016-10-06T18:44:58Z,20161006T184422_20161006T184423_T11SLT,0.001981,0,1,1,5580877,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_t0_event_day_window
ang20161006t200146-A,seasonal,downloaded,/diniuvol/yuyao/s2_legacy360_matched_gee_raw_exact/S2_GEE_6time/seasonal/ang20161006t200146-A/s2_seasonal.tif,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2016-07-08T00:00:00+00:00,2016-09-06T00:00:00+00:00,2016-07-18T18:45:06Z,20160718T184432_20160718T184431_T11SLT,0.179153,0,2,1,5619588,"shape=(12,514,616),dtype=('uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16', 'uint16')",legacy_seasonal_event_day_window
