id,row_idx,plume_id,label,reference,sensors,num_sensors,target_mask,target_shape,fusion_iou_plus,align_modes
161813,17810,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161818,17811,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
182982,20365,emi20240926t121916p08005-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
182989,20366,emi20240926t121916p08005-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
182990,20367,emi20240926t121916p08005-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
182992,20368,emi20240926t121916p08005-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
182994,20369,emi20240926t121916p08005-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
183002,20370,emi20240926t121916p08005-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
184044,20469,emi20240930t091314p06024-C,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
184045,20470,emi20240930t091314p06024-C,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
184052,20471,emi20240930t091314p06024-C,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191034,21323,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.5947464923469388,resize_no_crs
191036,21324,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.4424625318877551,resize_no_crs
191044,21325,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9787946428571429,resize_no_crs
191059,21326,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9162946428571429,resize_no_crs
191071,21327,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7689732142857143,resize_no_crs
191072,21328,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.5412946428571429,resize_no_crs
191073,21329,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.8939732142857143,resize_no_crs
191074,21330,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7700892857142857,resize_no_crs
191075,21331,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.6651785714285714,resize_no_crs
191076,21332,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.22767857142857142,resize_no_crs
191077,21333,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.24553571428571427,resize_no_crs
191078,21334,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9375,resize_no_crs
191079,21335,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.4424625318877551,resize_no_crs
191080,21336,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.3716517857142857,resize_no_crs
191081,21337,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.6511678890306123,resize_no_crs
191082,21338,emi20241217t093554p06014-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.4564732142857143,resize_no_crs
191083,21339,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191084,21340,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
191085,21341,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
191086,21342,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
191087,21343,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191088,21344,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
191089,21345,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191090,21346,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191091,21347,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191092,21348,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191093,21349,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
191094,21350,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
191095,21351,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191096,21352,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191097,21353,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
191098,21354,emi20241217t093554p06014-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
242821,28072,tan20250622t074731c58s4001-F,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
242829,28073,tan20250622t074731c58s4001-F,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
242833,28074,tan20250622t074731c58s4001-F,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
242848,28075,tan20250622t074731c58s4001-F,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
242857,28076,tan20250622t074731c58s4001-F,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
242874,28077,tan20250622t074731c58s4001-F,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
